query,officer_name_match,officer_title,committee_url
Ameya Pawar,Ameya Pawar,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=22524
Ameya Pawar,Ameya Pawar,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23607
Ameya Pawar,Ameya Pawar,Treasurer,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23607
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=17163
Ariel Reboyras,Ariel E Reboyras,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=18128
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23931
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=19263
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23931
Brendan Reilly,Brendan Reilly,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=25117
Carrie Austin,Carrie Austin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197
Carrie Austin,Carrie Austin,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=197
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12260
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=12260
Daniel Solis,Daniel Solis,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=15421
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16505
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=23266
Deborah Graham,Deborah L Graham,Chairman,http://www.elections.state.il.us/CampaignDisclosure/CommitteeDetail.aspx?id=16505
